feature,reach_users,impact_score,confidence_pct,effort_weeks,strategic_alignment,primary_segment
Smart Search v2,8000,3,85,3,9,Enterprise
Onboarding Wizard,12000,2,70,5,8,Free
Export Reports Pro,3000,3,90,2,7,Enterprise
Dark Mode Refresh,6000,1,95,4,3,Free
Automation Templates,4500,3,75,6,9,Pro
Mobile App Redesign,9000,2,60,8,7,Pro
AI Task Suggestions,7000,3,50,5,10,Enterprise
Guest Access,5500,2,80,3,6,Pro
Custom Dashboards,3500,3,85,4,8,Enterprise
Slack Integration v2,6500,2,90,2,5,Pro
Bulk Import Tool,2000,2,95,1,4,Enterprise
Time Tracking,8500,2,65,7,6,Pro
